Key,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,T
252,2.83,2.67,2.92,2.52,3,2,2,2,4,3,2,3,3,2,2,2,3,1,3.02
253,2.89,2.79,2.47,3.11,2,3,2,3,3,2,2,2,3,4,2,3,3,2,3.02
254,3.21,2.88,3,2.68,3,3,2,3,3,3,4,2,3,1,2,3,4,3,3.03
255,2.78,2.77,2.37,2.61,2,2,2,2,4,3,3,3,3,3,2,3,2,1,3.03
256,2.72,2.58,3.17,2.74,2,2,2,2,3,3,4,2,3,3,1,3,4,2,3.03
257,3.32,3.37,3.32,2.47,4,2,4,2,4,4,4,2,3,2,2,4,2,4,3.03
258,2.84,2.84,3.05,2.89,2,2,3,2,3,2,1,4,3,3,2,3,4,4,3.03
259,2.75,3.45,2.94,2.44,3,2,4,2,4,2,3,4,2,3,2,3,3,4,3.03
260,2.56,2.24,2.67,3.39,2,2,2,1,3,2,3,2,3,4,2,2,3,2,3.03
261,3.39,2.84,3.11,2.68,4,2,2,2,3,3,2,2,2,4,2,3,2,4,3.03
262,2.83,3.05,2.95,2.91,2,2,2,4,4,3,3,3,2,3,2,2,3,4,3.03
263,2.72,3,3.09,2.57,3,3,3,4,2,4,4,4,2,3,2,2,3,2,3.04
264,2.89,3.26,2.95,3.05,3,2,3,2,3,3,3,3,3,3,2,4,3,3,3.04
265,3,2.7,3.11,2.19,2,3,3,2,4,4,3,3,2,4,3,2,2,2,3.04
266,2.89,2.68,2.53,3.53,3,2,3,2,2,2,2,2,3,4,4,2,3,4,3.05
267,2.78,2.89,2.57,2.77,3,2,3,3,2,3,2,2,2,4,2,2,3,2,3.05
268,3.44,2.79,2.62,2.91,4,3,2,3,3,2,3,2,3,3,2,2,3,4,3.05
269,3.39,2.37,3.26,3.05,3,3,2,2,2,3,2,3,3,4,3,1,2,4,3.05
270,3,3,2.95,2.64,2,3,2,3,3,3,3,4,2,4,2,3,2,3,3.05
271,2.79,2.53,2.84,3.05,2,3,3,2,3,3,4,2,3,2,3,3,3,3,3.05
272,3,3,2.84,2.87,2,3,2,3,2,3,3,4,3,2,2,3,3,3,3.05
273,2.9,2.83,2.9,2.84,4,2,3,2,3,2,2,3,4,3,2,4,3,4,3.06
274,2.78,2.84,2.71,2.67,2,2,3,2,3,3,4,2,3,3,2,2,4,1,3.06
275,3,3.11,3.06,2.86,3,2,4,3,2,4,4,4,2,3,2,2,2,3,3.06
276,3.21,2.84,2.68,3.21,3,3,2,4,2,3,3,4,3,3,2,3,4,3,3.06
